Location,2011_Employee Contribution,2011_Total,2011_Deductible,2012_Employee Contribution,2012_Total,2012_Deductible,2013_Employee Contribution,2013_Total,2013_Deductible,2014_Employee Contribution,2014_Total,2014_Deductible,2015_Employee Contribution,2015_Total,2015_Deductible,2016_Employee Contribution,2016_Total,2016_Deductible,2011_Income,2012_Income,2013_Income,2014_Income,2015_Income,2016_Income,2012_Votes,2016_Votes,Shift_Flag,2011_Total_population,2011_Total_Age18,2011_Total_Age18-64,2011_Total_Age65,2011_Total_White,2011_Total_Black,2011_Total_Native,2011_Total_Asian,2011_Total_Hawaiian,2011_Total_OtherRace,2011_Total_MultiRace,2011_Total_Household,2011_Total_Inc25000,2011_Total_Inc50000,2011_Total_Inc75000,2011_Total_Inc100000,2011_Total_Inc999999,2011_Uninsured,2011_Uninsured_Age18,2011_Uninsured_Age18-64,2011_Uninsured_Age65,2011_Uninsured_White,2011_Uninsured_Black,2011_Uninsured_Native,2011_Uninsured_Asian,2011_Uninsured_Hawaiian,2011_Uninsured_OtherRace,2011_Uninsured_MultiRace,2011_Uninsured_Household,2011_Uninsured_Inc25000,2011_Uninsured_Inc50000,2011_Uninsured_Inc75000,2011_Uninsured_Inc100000,2011_Uninsured_Inc999999,2012_Total_population,2012_Total_Age18,2012_Total_Age18-64,2012_Total_Age65,2012_Total_White,2012_Total_Black,2012_Total_Native,2012_Total_Asian,2012_Total_Hawaiian,2012_Total_OtherRace,2012_Total_MultiRace,2012_Total_Household,2012_Total_Inc25000,2012_Total_Inc50000,2012_Total_Inc75000,2012_Total_Inc100000,2012_Total_Inc999999,2012_Uninsured,2012_Uninsured_Age18,2012_Uninsured_Age18-64,2012_Uninsured_Age65,2012_Uninsured_White,2012_Uninsured_Black,2012_Uninsured_Native,2012_Uninsured_Asian,2012_Uninsured_Hawaiian,2012_Uninsured_OtherRace,2012_Uninsured_MultiRace,2012_Uninsured_Household,2012_Uninsured_Inc25000,2012_Uninsured_Inc50000,2012_Uninsured_Inc75000,2012_Uninsured_Inc100000,2012_Uninsured_Inc999999,2013_Total_population,2013_Total_Age18,2013_Total_Age18-64,2013_Total_Age65,2013_Total_White,2013_Total_Black,2013_Total_Native,2013_Total_Asian,2013_Total_Hawaiian,2013_Total_OtherRace,2013_Total_MultiRace,2013_Total_Household,2013_Total_Inc25000,2013_Total_Inc50000,2013_Total_Inc75000,2013_Total_Inc100000,2013_Total_Inc999999,2013_Uninsured,2013_Uninsured_Age18,2013_Uninsured_Age18-64,2013_Uninsured_Age65,2013_Uninsured_White,2013_Uninsured_Black,2013_Uninsured_Native,2013_Uninsured_Asian,2013_Uninsured_Hawaiian,2013_Uninsured_OtherRace,2013_Uninsured_MultiRace,2013_Uninsured_Household,2013_Uninsured_Inc25000,2013_Uninsured_Inc50000,2013_Uninsured_Inc75000,2013_Uninsured_Inc100000,2013_Uninsured_Inc999999,2014_Total_population,2014_Total_Age18,2014_Total_Age18-64,2014_Total_Age65,2014_Total_White,2014_Total_Black,2014_Total_Native,2014_Total_Asian,2014_Total_Hawaiian,2014_Total_OtherRace,2014_Total_MultiRace,2014_Total_Household,2014_Total_Inc25000,2014_Total_Inc50000,2014_Total_Inc75000,2014_Total_Inc100000,2014_Total_Inc999999,2014_Uninsured,2014_Uninsured_Age18,2014_Uninsured_Age18-64,2014_Uninsured_Age65,2014_Uninsured_White,2014_Uninsured_Black,2014_Uninsured_Native,2014_Uninsured_Asian,2014_Uninsured_Hawaiian,2014_Uninsured_OtherRace,2014_Uninsured_MultiRace,2014_Uninsured_Household,2014_Uninsured_Inc25000,2014_Uninsured_Inc50000,2014_Uninsured_Inc75000,2014_Uninsured_Inc100000,2014_Uninsured_Inc999999,2015_Total_population,2015_Total_Age18,2015_Total_Age18-64,2015_Total_Age65,2015_Total_White,2015_Total_Black,2015_Total_Native,2015_Total_Asian,2015_Total_Hawaiian,2015_Total_OtherRace,2015_Total_MultiRace,2015_Total_Household,2015_Total_Inc25000,2015_Total_Inc50000,2015_Total_Inc75000,2015_Total_Inc100000,2015_Total_Inc999999,2015_Uninsured,2015_Uninsured_Age18,2015_Uninsured_Age18-64,2015_Uninsured_Age65,2015_Uninsured_White,2015_Uninsured_Black,2015_Uninsured_Native,2015_Uninsured_Asian,2015_Uninsured_Hawaiian,2015_Uninsured_OtherRace,2015_Uninsured_MultiRace,2015_Uninsured_Household,2015_Uninsured_Inc25000,2015_Uninsured_Inc50000,2015_Uninsured_Inc75000,2015_Uninsured_Inc100000,2015_Uninsured_Inc999999,2016_Total_population,2016_Total_Age18,2016_Total_Age18-64,2016_Total_Age65,2016_Total_White,2016_Total_Black,2016_Total_Native,2016_Total_Asian,2016_Total_Hawaiian,2016_Total_OtherRace,2016_Total_MultiRace,2016_Total_Household,2016_Total_Inc25000,2016_Total_Inc50000,2016_Total_Inc75000,2016_Total_Inc100000,2016_Total_Inc999999,2016_Uninsured,2016_Uninsured_Age18,2016_Uninsured_Age18-64,2016_Uninsured_Age65,2016_Uninsured_White,2016_Uninsured_Black,2016_Uninsured_Native,2016_Uninsured_Asian,2016_Uninsured_Hawaiian,2016_Uninsured_OtherRace,2016_Uninsured_MultiRace,2016_Uninsured_Household,2016_Uninsured_Inc25000,2016_Uninsured_Inc50000,2016_Uninsured_Inc75000,2016_Uninsured_Inc100000,2016_Uninsured_Inc999999
Indiana,4069,18380,2653,3952,17225,2867,4608,16849,2818,4830,18586,2715,4381,18258,3386,4175,17996,3391,55522,51424,54171,51864,55436,52314,Republican,Republican,Republican,6417644,1593636,4004670,819338,5440140,567226,12426,102591,0,155730,138745,6326280,1284366,1578245,1351255,896997,1215417,930829,128725,797672,4432,723347,110144,2813,15824,0,61071,17561,919101,315833,310067,161198,65671,66332,6384930,1598390,3975155,811385,5429008,559428,14781,102455,1520,144414,133324,6293607,1160398,1560650,1326971,934188,1311400,901006,141108,756240,3658,706019,102592,3419,16393,382,51204,20997,891868,278102,303831,167610,72618,69707,6414808,1593235,3990694,830879,5438865,570110,14462,107300,1828,148750,133493,6323301,1180135,1568834,1311803,932746,1329783,913679,135593,774220,3866,713696,106329,3217,18527,462,51930,19518,904941,284834,306064,168136,74158,71749,6442787,1588200,4001847,852740,5447809,575508,14907,114426,2048,149977,138112,6350965,1169125,1553912,1316457,937247,1374224,888650,129517,755130,4003,691866,103242,3502,19070,538,50571,19861,879994,275260,292991,164577,73943,73223,6468964,1582971,4009393,876600,5456484,580984,14360,121516,2254,150693,142673,6377071,1158508,1537806,1320736,937162,1422859,828342,122580,701745,4017,641704,95752,3167,19206,529,49292,18692,819908,251547,271404,155247,71077,70633,6534914,1573925,4003711,957278,5463217,598125,16957,140980,3395,155926,156314,6442821,1038143,1460281,1329469,960727,1654201,530363,92150,432020,6193,418248,52442,1719,11274,354,35459,10867,525276,129870,168323,113043,59432,54608
Iowa,4493,16277,3118,4386,15943,2705,4337,15447,2746,4562,17158,3039,5123,17337,3513,4306,16123,2921,62735,59539,58781,62386,64897,56247,Democratic,Republican,Shifter,3017465,721561,1861411,434493,2762888,83556,11478,55733,0,42857,59943,2962638,511484,722271,645487,460143,623253,269490,31741,235687,2062,227355,10798,2754,7779,0,13261,7260,265340,87075,88282,45695,25320,18968,3001335,722915,1847248,431172,2753645,84330,9097,54043,1294,43771,55155,2945762,475186,695688,649029,475318,650541,262227,31843,229020,1364,220728,12289,2139,6514,325,13620,6612,258999,76299,92913,48840,20553,20394,3016863,722659,1856591,437613,2763400,87623,8793,55702,1385,42566,57394,2960827,471355,685832,635398,485278,682964,259630,29841,228416,1373,219042,12434,1925,6648,368,12515,6698,256520,74215,89659,48671,22521,21454,3033245,723081,1864103,446061,2774382,91888,8906,59529,1712,39499,57329,2976568,464743,672434,636559,483264,719568,247162,28468,217162,1532,209212,12164,1740,6908,385,10683,6070,243808,68502,83992,47351,22283,21680,3049107,724402,1868653,456052,2781553,93704,9489,62827,1878,39523,60133,2991385,458906,666883,637053,490275,738268,222701,28142,193035,1524,186758,11937,1705,6886,430,9602,5383,219779,59418,73561,42850,22173,21777,3091437,724997,1875205,491235,2796050,108207,10368,74653,3949,41848,56362,3032572,419935,633046,611765,502036,865790,131612,18442,112350,820,104758,9055,673,4086,156,10502,2382,129103,29027,41855,27563,12278,18380
Kansas,4405,18063,2957,4940,15319,2755,4462,16779,2625,4434,16891,2887,5416,17852,2391,4669,16784,3056,57648,55708,55170,57675,58509,54935,Republican,Republican,Republican,2813530,721211,1728449,363870,2397997,158641,23123,67081,0,70424,94821,2779771,481691,702382,570147,414060,611491,354630,46345,305051,3234,269399,27791,6261,10684,0,25887,14408,350304,121051,121362,60279,26453,21159,2791851,720148,1712319,359384,2390539,154886,22616,67964,1445,68017,86384,2758248,458242,661227,573079,415606,650094,352636,53041,297821,1774,272315,27940,5748,9298,405,24028,12902,349351,109361,125690,61680,27123,25497,2808883,723140,1718259,367484,2404652,154752,23137,69715,1698,64639,90290,2775170,461768,662109,569666,411899,669728,357785,51028,305068,1689,278305,27873,5721,9547,589,22274,13476,354239,111809,125096,63603,26660,27071,2824176,723446,1724126,376604,2413270,157892,22945,71902,1421,63911,92835,2790414,454630,654966,569211,416863,694744,343475,46292,295360,1823,265871,28122,5112,9874,353,20877,13266,339918,107612,118537,60395,26354,27020,2833872,722134,1726037,385701,2419485,159267,23120,74889,1589,62239,93283,2800103,447456,649469,567999,419335,715844,318119,41529,274629,1961,244525,26984,5063,9512,335,19997,11703,314493,97710,108691,56793,25108,26191,2850862,713102,1718393,419367,2416319,157545,20934,79067,0,73612,100830,2817110,399913,625408,573515,417735,800539,248974,30912,215770,2292,186123,22494,3698,7696,0,18313,10281,244845,69041,79729,47786,21820,26469
Kentucky,4510,19259,2672,4225,17529,2433,4177,16570,2903,4596,18034,2955,4244,17726,2835,4737,16678,3520,49789,45773,45175,46173,45202,46659,Republican,Republican,Republican,4284357,1022948,2690030,571379,3772577,332264,9395,50017,0,40313,79075,4235115,1064585,1076800,809079,536847,747804,618458,62444,553972,2042,520394,67303,1607,7055,0,12768,9164,610852,247532,197853,89271,42906,33290,4251528,1019082,2672552,559894,3757446,320570,8023,49113,2255,41218,72903,4202341,1003632,1054020,815368,551521,777800,600645,61805,536990,1850,505153,58661,1785,7254,511,17125,10156,592610,231074,193403,94590,38602,34941,4273751,1018483,2680541,574727,3769610,323381,8292,50841,1900,40773,78954,4223880,1000147,1053498,807301,555547,807387,614786,60540,552233,2013,516041,59377,1883,8860,403,17549,10673,605931,235390,194283,96343,41632,38283,4296790,1016118,2689180,591492,3780572,327593,8489,52903,1973,40380,84880,4243539,989887,1047726,808297,556887,840742,566083,56109,508119,1855,472653,55635,1834,8956,463,15945,10597,557347,209075,178300,90878,40067,39027,4312238,1013732,2688177,610329,3787568,330057,8525,54922,2135,40086,88945,4259867,981440,1039838,818016,563057,857516,490262,53065,435212,1985,407377,47885,1553,8032,406,15146,9863,482874,176993,154048,79639,37244,34950,4354380,1009986,2679027,665367,3803005,350298,10786,60885,0,36479,90787,4297484,910958,1012425,808423,578981,986697,223350,31995,189249,2106,182419,20639,532,4868,0,11098,3747,220301,63493,72614,45089,18939,20166
Louisiana,5517,16955,3127,5117,16813,2477,4934,16661,2730,5454,17189,2791,6074,18387,2803,5817,17330,2738,50791,43544,42458,45763,48972,45146,Republican,Republican,Republican,4473068,1117293,2805080,550695,2827521,1419535,28355,71908,0,46790,75987,4436606,1125300,1063267,757105,582343,908591,784015,64635,716142,3238,413369,309047,8770,22608,0,20020,9968,775857,282967,238824,120715,59955,73396,4425335,1113067,2770754,541514,2807080,1400565,28104,70929,1737,48350,68570,4388715,1016801,1045448,782122,585838,958506,762016,68671,689880,3465,397347,305587,7196,18955,448,21849,10634,755659,255542,233357,129121,65641,71998,4463986,1113970,2793181,556835,2824712,1413520,27809,73012,2042,49452,73439,4427449,1032534,1038225,777953,582056,996681,763555,64694,694757,4104,398847,304742,6689,19563,498,21989,11227,757189,256106,231998,128293,65924,74868,4497703,1113696,2810923,573084,2840922,1428790,28083,74928,1588,47440,75952,4461184,1042918,1030641,777757,577791,1032077,747454,61930,681263,4261,395762,294745,6402,18919,384,19990,11252,740811,252631,221287,125120,67919,73854,4522122,1112860,2817463,591799,2853827,1434705,26668,77366,1744,45780,82032,4485545,1055311,1029571,772115,573981,1054567,699752,57945,637852,3955,373115,274186,5825,17665,389,17442,11130,693503,241643,207054,114493,60611,69702,4577182,1115457,2807699,654026,2855487,1462552,24818,77338,0,65205,90812,4540498,1055042,1038919,769926,549593,1127018,469832,33626,433797,2409,255301,164135,4205,9460,0,27843,8798,464747,160513,140547,79466,37183,47038
Maine,5664,19469,3315,5085,18052,3518,5107,17501,3147,4418,17821,3461,4966,17187,3879,4699,17987,3714,62078,54766,53708,55803,54127,53079,Democratic,Democratic,Democratic,1314121,269901,834021,210199,1251337,13361,8104,13456,0,0,24486,1291116,259000,324021,262285,194502,251308,140165,14165,125625,375,132203,1277,1706,2262,0,0,2060,137901,37595,46091,29308,14305,10602,1314102,273379,834608,206115,1252490,13916,7012,13935,280,3318,23151,1291073,233682,319770,277253,192585,267783,134501,14195,119918,388,126999,1204,1131,2268,14,466,2419,132590,30390,46474,29835,13387,12504,1313789,268615,832739,212435,1250532,14266,7177,14360,241,3519,23694,1290774,232455,318374,269808,193479,276658,136130,13515,122283,332,128054,1540,1229,2144,19,563,2581,134300,31731,46525,29717,13305,13022,1314350,264858,830008,219484,1249574,14535,7401,14593,195,3206,24846,1291333,230926,313694,263082,194209,289422,136759,14170,122220,369,127732,1837,1371,2423,10,555,2831,134718,32230,44993,30097,13692,13706,1314824,261742,826037,227045,1248767,14746,7661,14576,184,3121,25769,1291855,228313,308868,263379,196327,294968,132030,14944,116681,405,122447,1904,1337,2431,23,588,3300,129829,31507,42420,29700,13979,12223,1317148,254723,812942,249483,1244291,19435,7893,17295,0,2446,25574,1294030,198321,283596,257063,198608,356442,105973,11619,94113,241,97916,2910,1439,805,0,525,2360,105314,22788,32117,24479,11438,14492
Maryland,5452,19132,2036,4777,16978,2132,4835,16952,2172,5634,18596,2371,6788,19154,2156,5478,18519,3100,86042,80031,69933,82194,78482,78945,Democratic,Democratic,Democratic,5736588,1344498,3684538,707552,3365520,1690072,13852,327511,0,188599,149215,5672614,685875,908746,976265,804108,2297620,598444,61486,528208,8750,272996,191350,1921,41937,0,75185,14962,594186,117393,148389,131039,74679,122686,5686615,1348511,3646011,692093,3355659,1659832,16762,321356,2052,180497,150457,5621984,613205,879365,943979,812215,2373220,609773,62094,539724,7955,276166,197810,3410,42302,110,74884,15091,604130,106661,154217,131953,80509,130790,5737052,1346739,3675444,714869,3355599,1677225,16955,330811,2207,194380,159875,5671738,626670,876495,937101,804063,2427409,602791,59489,534317,8985,266224,194408,3238,45435,184,78061,15241,597077,102591,151615,129391,80298,133182,5793471,1347137,3706166,740168,3368157,1699132,16005,343036,2336,197696,167109,5727800,627073,881108,937064,802028,2480527,571092,54197,506997,9898,254034,179712,2629,43262,269,75902,15284,565093,94029,141142,122207,76958,130757,5836734,1346655,3722909,767170,3366003,1714013,14992,355675,2602,210605,172844,5770466,624109,885018,938578,805057,2517704,523072,52573,460683,9816,228929,162505,1932,40080,287,75678,13661,517592,85647,129719,113440,70276,118510,5918535,1344588,3721766,852181,3343098,1757742,14879,373810,0,228802,197837,5855579,593926,830616,911964,815614,2703459,363179,44955,310249,7975,162621,103026,1055,19976,0,66278,10142,359918,52887,76978,80198,52168,97687
Massachusetts,5422,21178,2720,5048,19083,2432,4897,18671,2483,5217,19103,2565,4785,19680,2520,5052,18955,2746,79093,70918,67469,68150,72368,75297,Democratic,Democratic,Democratic,6507596,1401873,4223139,882584,5242841,442728,12887,365280,0,276717,166294,6344318,944950,1078701,1014930,903772,2401965,276940,24099,249282,3559,185546,31808,933,17715,0,29452,11455,270882,57600,71945,52472,43938,44927,6479196,1413471,4194593,871132,5246850,436695,12580,356479,1544,258741,166307,6311776,867240,1007084,1000880,907634,2528938,259871,21321,235750,2800,176845,28955,1226,14817,43,26119,11866,254433,49495,66382,53288,36396,48872,6524851,1404696,4225235,894920,5256762,444852,12716,367022,1864,262740,178895,6355086,883517,1015811,988911,893360,2573487,262859,20998,238956,2905,177450,29521,1267,15036,42,27154,12389,257386,51141,66390,53409,36500,49946,6578631,1399175,4259781,919675,5266071,456274,13415,383591,1640,269459,188181,6405855,884230,1004778,975889,881346,2659612,252920,21177,228434,3309,167815,30688,966,14255,99,25962,13135,247418,49573,62875,50532,33596,50842,6627768,1394267,4286479,947022,5275543,469449,12968,399610,1638,276026,192534,6452188,879543,1002863,979785,865219,2724778,235963,20398,211927,3638,156012,29085,724,14860,53,24206,11023,230319,46394,56351,47044,30430,50100,6736017,1375244,4324702,1036071,5292381,496138,12463,439988,3758,281205,210084,6554127,786309,927827,903309,856412,3080270,171059,12709,154861,3489,112103,18939,956,12424,205,17625,8807,166069,24178,37556,35883,21455,46997
Michigan,4335,18061,2468,3907,16039,2091,4252,16333,2212,4163,16844,2745,3888,16666,3042,3439,17113,2834,61061,55721,52294,56122,57803,52492,Democratic,Republican,Shifter,9762306,2289531,6122753,1350022,7761963,1351194,52961,241292,0,103926,248924,9643318,2103312,2316903,1861029,1299338,2062736,1149911,93810,1050220,5881,836835,220307,9730,28149,0,26857,27185,1134190,411722,354688,199534,82440,85806,9782012,2334434,6114253,1333325,7782597,1352374,54612,245001,2600,114069,230759,9662534,1926632,2284052,1892077,1348540,2211233,1128261,100053,1023105,5103,822217,209117,10788,28136,628,31535,25840,1112283,374466,356174,193470,93342,94831,9773019,2299994,6106656,1366369,7772135,1347211,53644,250602,2183,106560,240684,9653896,1936806,2275849,1869211,1340963,2231067,1130793,94265,1031108,5420,823089,210786,10659,29688,483,29086,27002,1115689,374871,358997,194587,91749,95485,9777157,2270569,6103278,1403310,7762245,1344979,53748,258130,1942,106189,249924,9658211,1898035,2253328,1871372,1337716,2297760,1065883,90054,970448,5381,771265,200794,10690,29491,306,26241,27096,1051107,346883,339738,184588,87223,92675,9789145,2245945,6098796,1444404,7756972,1343608,52650,268303,2051,108127,257434,9670069,1868347,2233038,1864758,1337945,2365981,943241,84024,853671,5546,679534,177084,9065,27963,288,24877,24430,930626,301797,299768,166463,78589,84009,9818099,2187554,6059622,1570923,7727734,1326535,49519,291755,2674,118206,301676,9694158,1637501,2127754,1851637,1344042,2733224,526990,63236,459651,4103,380354,87063,5872,16675,419,18352,18255,518073,126620,172418,104104,49644,65287
Minnesota,5093,19412,3043,4710,17166,2775,4511,15881,2700,4500,17656,3121,5421,18049,3780,4803,17545,3295,72231,68845,65266,72567,73295,65599,Democratic,Democratic,Democratic,5286728,1276035,3340333,670360,4531711,271528,59443,215580,0,74189,133514,5207641,774521,1049972,1065314,817692,1500142,467433,79824,385642,1967,338441,40895,13383,26234,0,30087,18126,463959,111839,150898,100545,49577,51100,5253764,1278246,3316728,658790,4524068,263740,54702,215581,2057,70569,123047,5174316,706772,1026821,1020584,850873,1569266,454463,78449,373952,2062,338477,40774,12639,23060,411,24799,14303,451454,101073,149507,97794,50102,52978,5288893,1278257,3331971,678665,4530545,271755,55411,222109,2207,76221,130645,5209453,709867,1018512,1009411,851815,1619848,452715,76509,373684,2522,333791,40886,12034,24499,429,26755,14321,449794,98234,147777,96798,52842,54143,5325251,1277832,3347188,700231,4540882,282499,54192,230128,2110,77904,137536,5246097,695747,1001698,1000352,847739,1700561,420827,69110,349034,2683,306093,39683,11240,23024,332,26472,13983,417827,91154,133571,89874,49979,53249,5360861,1278612,3359120,723129,4549148,291783,54316,240170,1914,81224,142306,5282124,682808,989772,1004398,847828,1757318,377070,60813,313572,2685,269110,35298,10875,21380,223,27015,13169,374081,80356,117515,81429,45036,49745,5462438,1286323,3375664,800451,4552519,323107,60807,258067,1398,111329,155211,5385049,610921,942596,966730,836767,2028035,224946,43285,180240,1421,147263,23180,10168,8918,120,26942,8355,222305,45260,64603,45852,30176,36414
Mississippi,5804,16765,2547,5238,15789,2531,4689,15059,2651,5048,16287,2603,5659,17149,2660,5408,15765,3111,51331,40821,43774,38333,42696,41754,Republican,Republican,Republican,2911811,749572,1788212,374027,1737101,1086907,11681,26391,0,15992,33671,2878920,831118,797492,530886,322203,397221,516413,60983,453929,1501,265937,226046,3261,8959,0,7703,4462,508229,207299,168144,75363,27657,29766,2898487,751129,1777295,370063,1733175,1071645,13078,25799,333,21925,32532,2865653,792571,755721,534883,338171,444307,506225,68473,436413,1339,261642,215311,5304,6557,94,11789,5528,500014,193810,159078,80220,33633,33273,2908862,746074,1783587,379201,1735694,1077385,12759,27060,259,22190,33515,2875463,791920,757618,533860,339578,452487,507514,61638,444667,1209,260209,218600,4906,7139,112,11208,5340,501487,194063,158421,79483,34028,35492,2916635,741019,1785788,389828,1735776,1084681,12715,27475,339,22223,33426,2882491,779132,757154,535299,345552,465354,489849,54400,433915,1534,249459,213214,4289,7398,120,10963,4406,483770,185677,153749,76591,33461,34292,2921189,733614,1786012,401563,1734476,1088609,12579,28221,389,22552,34363,2886219,774998,755372,534971,344456,476422,462187,48809,411889,1489,238191,198170,4087,6575,110,10693,4361,455686,174059,145636,73057,31059,31875,2924168,721108,1766560,436500,1716181,1106549,12975,26056,0,28403,33486,2887902,707536,717917,535257,371356,555836,346181,32590,312179,1412,177475,148872,3544,2716,0,8579,4950,340369,128769,107623,55948,25579,22450
Missouri,5064,17349,2727,4910,16696,2952,4774,16245,2845,4179,16719,3337,4464,17968,3373,6003,16638,3773,57182,55441,53912,61113,63128,51746,Republican,Republican,Republican,5898968,1409255,3671075,818638,4910675,662880,21336,95612,5472,60577,142416,5828317,1214907,1472268,1171483,796469,1173190,807414,94934,708933,3547,604675,133407,4814,15361,2134,23945,23078,797989,288809,259912,137551,58672,53045,5867503,1413854,3648198,805451,4889764,663526,21927,95371,5598,60141,131176,5797137,1127427,1425342,1184382,816293,1243693,766671,95615,668149,2907,576841,126670,4755,14408,1368,23119,19510,759511,252089,257850,136991,56478,56103,5892726,1408646,3660193,823887,4902326,664888,21956,98274,5991,63046,136245,5822186,1137608,1425190,1178041,813083,1268264,776915,94772,678679,3464,583412,129613,4764,14730,1386,23530,19480,769494,256469,263106,136186,56446,57287,5914681,1402070,3668216,844395,4910276,670196,23419,101243,5745,62801,141001,5844089,1122376,1415362,1174710,814489,1317152,761852,95396,663031,3425,570270,127591,5305,15245,1530,22992,18919,754174,247089,257519,136172,57317,56077,5932449,1396052,3669097,867300,4914648,671178,24047,106040,5859,66249,144428,5861877,1108597,1412436,1175044,819034,1346766,726533,93601,629215,3717,544147,119251,5114,15866,1558,23070,17527,718885,234801,242737,130098,56015,55234,5977199,1386471,3653174,937554,4926235,678391,30065,115748,8642,70077,148041,5906591,972336,1361719,1164709,863624,1544203,531923,61873,466927,3123,408642,77363,4034,10723,2201,16749,12211,526969,159770,161705,104023,50410,51061
Montana,4635,18131,3637,4209,16382,2881,3745,16236,2679,4619,16193,3089,4492,18467,3449,5570,17835,3590,50315,50232,47290,55147,54809,50027,Republican,Republican,Republican,983214,222102,614806,146306,878958,4023,64839,5652,0,5108,23666,966972,199057,262460,206231,135519,163705,179575,25562,152921,1092,140074,1472,27759,1806,0,2591,5779,177218,54899,65069,32111,12375,12764,975207,222011,610055,143141,875126,3813,60792,5905,658,5592,23321,959115,189885,245782,204278,139268,179902,169971,26780,142642,549,135139,961,25028,1503,110,2111,5119,167611,50027,58390,30726,14631,13837,982993,222236,612653,148104,880445,3638,62651,6093,660,5678,23828,966799,191271,242678,202817,140563,189470,170829,25705,144497,627,134719,920,26179,1798,174,2020,5019,168384,50221,57157,30700,14921,15385,991001,222700,614969,153332,887078,4175,63308,6533,663,4810,24434,974756,185252,247027,201563,139690,201224,165335,23528,141094,713,129996,1326,25846,1675,178,1530,4784,162996,47695,55718,29319,14823,15441,999213,223495,616189,159529,892587,4358,63689,7084,812,5286,25397,982966,184232,244006,203034,139563,212131,155267,21286,133257,724,120655,1347,25297,1353,141,1543,4931,152973,44570,50675,29028,13974,14726,1027510,227631,620433,179446,915185,3535,64396,8432,0,3631,31766,1011246,163046,245649,198410,151066,253075,83416,10628,72426,362,62470,385,15819,879,0,557,3306,81139,19490,28148,15018,8232,10251
Nebraska,4931,17209,3218,3986,16123,2899,4796,15662,2685,4732,17417,2850,5606,17277,3417,4808,16617,3424,69477,58151,57623,61372,64491,56927,Republican,Republican,Republican,1814388,459191,1117300,237897,1600664,81133,17504,34346,0,40012,40036,1787299,310721,419693,384318,271788,400779,207094,26892,179782,420,161288,13907,5152,4530,0,16666,5373,205747,69531,70516,38344,13848,13508,1797941,456301,1106394,235246,1588577,79128,15855,32092,1010,42779,38500,1770886,286643,415495,384088,280714,403946,204804,28487,175469,848,160527,14165,5236,3839,103,15152,5782,203161,60585,71910,39227,17335,14104,1812953,458663,1113985,240305,1601035,81043,15775,33992,1228,40782,39098,1785512,287316,418174,379452,278776,421794,207593,27165,179362,1066,163059,14512,5189,4327,289,14116,6101,205749,62070,72859,39738,16556,14526,1827507,461286,1120755,245466,1615012,83308,15604,35556,1124,36513,40390,1799811,282070,414243,378118,280533,444847,201560,25986,174577,997,159503,14660,5116,4224,268,11802,5987,199838,59935,71420,36591,16827,15065,1840934,463638,1125225,252071,1624187,85097,15807,37930,1224,35872,40817,1813048,278571,407239,379854,281384,466000,189101,25604,162400,1097,149354,14184,4788,4031,317,11205,5222,186983,56782,65670,35262,15114,14155,1877654,472689,1131791,273174,1651835,86027,15099,41434,0,37706,44345,1849359,243259,393879,368231,291804,552186,160563,23707,135759,1097,123759,12662,4080,3728,0,11420,4657,158587,43314,52588,33754,16064,12867
